"id","category","question","answer"
1,"Orders & Payments","What payment methods do you accept?","Visa, MasterCard, Amex, PayPal, Apple Pay, Google Pay, and bank transfer for large orders."
2,"Orders & Payments","Is my payment secure?","Yes—PCI-DSS compliant gateways, TLS 1.2+, and 3-D Secure where supported."
3,"Orders & Payments","Which currencies can I pay in?","Prices default to EUR. You can view USD/GBP; final charge settles in EUR."
4,"Orders & Payments","Do you offer installments?","For EU/US we support select buy-now-pay-later partners on eligible baskets."
5,"Orders & Payments","Can I pay by bank transfer?","Yep—for orders over €2,000. Upload proof to speed up processing."
6,"Orders & Payments","Will I receive an invoice?","Automatically emailed after payment and available in your account."
7,"Orders & Payments","Can I change or cancel my order?","Within 24h for in-stock items. Made-to-order locks once production starts."
8,"Orders & Payments","Do you price match?","We review official quotes on identical items before purchase. Not guaranteed."
9,"Orders & Payments","Do you charge VAT?","EU consumers: VAT included. Valid EU VAT IDs: reverse charge where eligible. Non-EU: no VAT from us; local taxes may apply."
10,"Orders & Payments","Can I order by phone or email?","Sure—our sales team can build the cart and send a secure pay link."
11,"Orders & Payments","Why was my card declined?","Common reasons: AVS/3DS mismatch, daily limits, or bank blocks. Try another method or call your bank."
12,"Orders & Payments","Do you collect sales tax outside the EU?","We don’t. Carriers or customs may collect duties/taxes at import."
13,"Orders & Payments","Can I split payment across methods?","Yes for card + bank transfer. Contact support to arrange."
14,"Orders & Payments","Do you offer gift cards?","Digital gift cards in EUR, delivered by email, valid 24 months."
15,"Orders & Payments","Can I apply multiple promo codes?","One promo per order unless stated otherwise."
16,"Shipping & Delivery","Do you ship worldwide?","Yes—from Italy to 100+ countries via trusted freight partners."
17,"Shipping & Delivery","What are your lead times?","In-stock: ship in 2–4 business days. Made-to-order: typically 6–10 weeks plus transit."
18,"Shipping & Delivery","How long is transit?","EU: 3–7 business days. North America: 7–14. APAC/ME: 10–18. Remote areas may take longer."
19,"Shipping & Delivery","Which delivery services do you offer?","Curbside, Inside Delivery, and White-Glove (room of choice + assembly). Availability varies by postcode."
20,"Shipping & Delivery","How is shipping cost calculated?","Based on size, weight, destination, service level, and access conditions."
21,"Shipping & Delivery","Do you offer free shipping?","Occasionally for promos or minimums. Check the banner at checkout."
22,"Shipping & Delivery","Will I get tracking?","Yes—tracking email when your order leaves our warehouse."
23,"Shipping & Delivery","Can I schedule my delivery?","White-Glove includes scheduling. Freight will call/text to confirm a window."
24,"Shipping & Delivery","What about building access restrictions?","Tell us about stairs, elevators, permits, or narrow doors beforehand so we plan the right crew."
25,"Shipping & Delivery","Do you deliver on weekends?","Select cities only. Surcharges may apply."
26,"Shipping & Delivery","Can I ship to a PO box?","No—furniture ships via freight to physical addresses only."
27,"Shipping & Delivery","Do you offer stair carries?","Yes—up to specified flights with White-Glove. Extra fees for complex access."
28,"Shipping & Delivery","What if I miss delivery?","The carrier will reschedule; storage/redelivery fees may apply."
29,"Shipping & Delivery","Can I hold shipment for later?","We can store finished goods for 30 days free; fees after that."
30,"Shipping & Delivery","Can I ship to multiple addresses?","Place separate orders or ask our team to split the shipment."
31,"Shipping & Delivery","Do you palletize orders?","Yes—export-grade pallets, corner protectors, and shrink wrap as needed."
32,"Shipping & Delivery","Are island/remote surcharges a thing?","Sometimes. They’re shown at checkout or quoted by our team."
33,"Shipping & Delivery","Do you consolidate shipments?","We can ship as items complete or consolidate on request to minimize deliveries."
34,"Shipping & Delivery","Can I collect from your warehouse?","Yes—by appointment from our Italy facility. Bring ID and order number."
35,"Shipping & Delivery","Do you remove old furniture?","In select cities with White-Glove. Add disposal during checkout."
36,"Shipping & Delivery","Do you ship assembled?","Large items ship assembled or partially; flat-pack includes hardware and guides."
37,"Shipping & Delivery","Can I change my delivery address?","Before dispatch: free. After dispatch: reroute fees may apply."
38,"Shipping & Delivery","Do you ship to freight forwarders?","Yes—provide forwarder details. Risk transfers upon hand-off."
39,"Shipping & Delivery","Do you provide liftgate service?","Yes for curbside in most regions; included for heavy pallets."
40,"Shipping & Delivery","What happens if the box looks damaged?","Note it on the delivery slip, take photos, and contact us within 48h."
41,"Customs & Duties","Who pays import duties?","Buyer pays in DAP terms unless otherwise stated. We can quote DDP in select countries."
42,"Customs & Duties","Will you provide HS codes?","Yes—commercial invoice lists HS codes, value, origin, and materials."
43,"Customs & Duties","Can you help with customs clearance?","Our carriers handle clearance; we supply any docs they need."
44,"Returns & Warranty","What’s your return window?","30 days on stock items in original packaging. Custom and clearance are final."
45,"Returns & Warranty","How do I start a return?","Request a return label in your account or contact support with photos."
46,"Returns & Warranty","Who pays return shipping?","Change of mind: you. Fault/our mistake: we cover it."
47,"Returns & Warranty","When will I get my refund?","Within 7–10 business days after we receive and inspect the goods."
48,"Returns & Warranty","Can I exchange instead of refund?","Yes—exchanges ship once the return scans in, or with a new deposit."
49,"Returns & Warranty","What if my item arrives damaged?","Report within 48h with photos; we’ll repair, replace, or refund fast."
50,"Returns & Warranty","Warranty length?","2-year warranty on manufacturing defects; specific components may vary."
51,"Returns & Warranty","What’s not covered by warranty?","Wear and tear, misuse, improper cleaning, UV fading, and commercial abuse."
52,"Returns & Warranty","Do you offer spare parts?","Yes—feet, glides, hardware, cushions, and finish kits on request."
